date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-01-16,00878,國泰永續高股息,listed,33366815,951230,32415585,0,0,0,52085639,5351000,46734639,79150224,TWSE
2026-01-16,2303,聯電,listed,124170270,46890765,77279505,524000,6847295,-6323295,10268045,3622576,6645469,77601679,TWSE
2026-01-16,00919,群益台灣精選高息,listed,45750210,704495,45045715,0,0,0,35986308,8287524,27698784,72744499,TWSE
2026-01-16,00940,元大台灣價值高息,listed,3001020,229000,2772020,0,0,0,56148722,1935000,54213722,56985742,TWSE
2026-01-16,00929,復華台灣科技優息,listed,3065201,3875000,-809799,0,0,0,52895522,2438765,50456757,49646958,TWSE
2026-01-16,2409,友達,listed,146643199,104436262,42206937,66000,462740,-396740,6002751,1743959,4258792,46068989,TWSE
2026-01-16,1303,南亞,listed,127865355,90115149,37750206,3256000,114094,3141906,6589663,4953608,1636055,42528167,TWSE
2026-01-16,036364,台達電元大54購11,listed,0,0,0,0,0,0,33730000,2789000,30941000,30941000,TWSE
2026-01-16,2887,台新新光金,listed,47535968,13382889,34153079,2000,3443798,-3441798,594095,405000,189095,30900376,TWSE
2026-01-16,00712,復華富時不動產,listed,20983000,362000,20621000,0,0,0,7681000,3027167,4653833,25274833,TWSE
2026-01-16,057922,台積電元大55購01,listed,0,0,0,0,0,0,23885000,50000,23835000,23835000,TWSE
2026-01-16,00981A,主動統一台股增長,listed,9237200,3641000,5596200,0,0,0,27247648,9426504,17821144,23417344,TWSE
2026-01-16,1301,台塑,listed,28148595,8258435,19890160,0,36925,-36925,505205,999321,-494116,19359119,TWSE
2026-01-16,6770,力積電,listed,27248500,18145372,9103128,34000,0,34000,10680799,906000,9774799,18911927,TWSE
2026-01-16,00680L,元大美債20正2,listed,0,0,0,0,0,0,19615212,1174000,18441212,18441212,TWSE
2026-01-16,0056,元大高股息,listed,12520910,2964255,9556655,0,0,0,7938000,668000,7270000,16826655,TWSE
2026-01-16,00990A,主動元大AI新經濟,listed,12655200,15000,12640200,0,0,0,9362000,5446308,3915692,16555892,TWSE
2026-01-16,00918,大華優利高填息30,listed,7343000,288000,7055000,0,0,0,11189531,2085106,9104425,16159425,TWSE
2026-01-16,00939,統一台灣高息動能,listed,4999000,374000,4625000,0,0,0,12789159,1358831,11430328,16055328,TWSE
2026-01-16,2883,凱基金,listed,20358320,5241680,15116640,0,574477,-574477,290000,379393,-89393,14452770,TWSE
2026-01-16,2327,國巨*,listed,25604884,15265317,10339567,2894001,312570,2581431,1634555,1206814,427741,13348739,TWSE
2026-01-16,00992A,主動群益科技創新,listed,7306100,553000,6753100,0,0,0,9940395,4094612,5845783,12598883,TWSE
2026-01-16,3037,欣興,listed,23764554,17351528,6413026,6000001,65000,5935001,1909695,1675835,233860,12581887,TWSE
2026-01-16,2382,廣達,listed,15775820,3977679,11798141,57002,660354,-603352,312616,248826,63790,11258579,TWSE
2026-01-16,2481,強茂,listed,19230414,11291432,7938982,1245000,17000,1228000,1830611,461214,1369397,10536379,TWSE
2026-01-16,8046,南電,listed,11187300,3493349,7693951,2034000,21000,2013000,706763,305000,401763,10108714,TWSE
2026-01-16,2882,國泰金,listed,22378768,8725079,13653689,1000,4101874,-4100874,362209,125130,237079,9789894,TWSE
2026-01-16,044775,欣興統一57購01,listed,0,0,0,0,0,0,9391000,0,9391000,9391000,TWSE
2026-01-16,2330,台積電,listed,28497209,18391522,10105687,625700,417480,208220,1062223,2195266,-1133043,9180864,TWSE
2026-01-16,00688L,國泰20年美債正2,listed,154000,0,154000,0,0,0,9863004,1001000,8862004,9016004,TWSE
2026-01-16,00991A,主動復華未來50,listed,488000,3801999,-3313999,1328000,0,1328000,23438000,12884586,10553414,8567415,TWSE
2026-01-16,2337,旺宏,listed,11159546,7485735,3673811,86000,223000,-137000,5565946,629000,4936946,8473757,TWSE
2026-01-16,00946,群益科技高息成長,listed,2737000,298000,2439000,0,0,0,7880214,1887860,5992354,8431354,TWSE
2026-01-16,3189,景碩,listed,16105728,9532186,6573542,816000,19000,797000,675829,357065,318764,7689306,TWSE
2026-01-16,00915,凱基優選高股息30,listed,2032000,98000,1934000,0,0,0,6426695,772000,5654695,7588695,TWSE
2026-01-16,8150,南茂,listed,18557200,11732549,6824651,0,0,0,1510299,861740,648559,7473210,TWSE
2026-01-16,2890,永豐金,listed,12780572,7237865,5542707,1944000,473815,1470185,527612,378892,148720,7161612,TWSE
2026-01-16,6005,群益證,listed,7789120,2101500,5687620,1984000,1028336,955664,0,0,0,6643284,TWSE
2026-01-16,2308,台達電,listed,12525423,6302908,6222515,266000,89491,176509,1213812,975316,238496,6637520,TWSE
2026-01-16,2375,凱美,listed,9157750,2991056,6166694,0,0,0,540371,71671,468700,6635394,TWSE
2026-01-16,3481,群創,listed,32709300,35223475,-2514175,114600,14841,99759,10233783,1185000,9048783,6634367,TWSE
2026-01-16,2610,華航,listed,21271547,10975811,10295736,760000,4475320,-3715320,1122226,1226141,-103915,6476501,TWSE
2026-01-16,00713,元大台灣高息低波,listed,977050,98400,878650,0,5000,-5000,5234077,9000,5225077,6098727,TWSE
2026-01-16,1326,台化,listed,13192988,7012898,6180090,0,0,0,745762,923708,-177946,6002144,TWSE
2026-01-16,00982A,主動群益台灣強棒,listed,3745650,2278200,1467450,0,0,0,7223162,2968115,4255047,5722497,TWSE
2026-01-16,1513,中興電,listed,8236558,3704061,4532497,8000,3807,4193,1195082,269297,925785,5462475,TWSE
2026-01-16,00922,國泰台灣領袖50,listed,302028,90000,212028,0,0,0,5967408,974039,4993369,5205397,TWSE
2026-01-16,2356,英業達,listed,6831312,1346000,5485312,74000,302000,-228000,98907,162000,-63093,5194219,TWSE
2026-01-16,1514,亞力,listed,8787889,4045359,4742530,40000,0,40000,498309,129028,369281,5151811,TWSE
2026-01-16,2329,華泰,listed,12944100,9340337,3603763,0,0,0,2030336,540941,1489395,5093158,TWSE
2026-01-16,1795,美時,listed,7007120,2853451,4153669,555000,2864,552136,535924,149274,386650,5092455,TWSE
2026-01-16,00988A,主動統一全球創新,listed,1113000,365000,748000,0,0,0,7060000,2800841,4259159,5007159,TWSE
2026-01-16,03999C,臺股指元大5C牛03,listed,0,0,0,0,0,0,5071000,102000,4969000,4969000,TWSE
2026-01-16,9105,泰金寶-DR,listed,12742000,9132000,3610000,0,0,0,1522263,214651,1307612,4917612,TWSE
2026-01-16,1536,和大,listed,5939000,1908112,4030888,0,0,0,959623,125801,833822,4864710,TWSE
2026-01-16,00936,台新永續高息中小,listed,840000,196300,643700,0,0,0,4788213,703000,4085213,4728913,TWSE
2026-01-16,03701B,臺股指凱基55熊26,listed,0,0,0,0,0,0,5151000,554000,4597000,4597000,TWSE
2026-01-16,2374,佳能,listed,7782000,3913681,3868319,0,17000,-17000,578053,37010,541043,4392362,TWSE
2026-01-16,2344,華邦電,listed,10853990,8959234,1894756,250000,3047,246953,4057929,1831901,2226028,4367737,TWSE
2026-01-16,5469,瀚宇博,listed,7983100,4122842,3860258,0,125000,-125000,682762,89443,593319,4328577,TWSE
2026-01-16,2886,兆豐金,listed,10816467,5035641,5780826,2000,1343675,-1341675,43055,179000,-135945,4303206,TWSE
2026-01-16,039913,台積電元大54購53,listed,0,0,0,0,0,0,4545000,321000,4224000,4224000,TWSE
2026-01-16,00646,元大S&P500,listed,230044,209600,20444,0,50000,-50000,4217000,22000,4195000,4165444,TWSE
2026-01-16,074748,東陽國票61購01,listed,0,0,0,0,0,0,3890000,9000,3881000,3881000,TWSE
2026-01-16,4958,臻鼎-KY,listed,17252138,15407806,1844332,1749000,124000,1625000,1225959,854934,371025,3840357,TWSE
2026-01-16,1609,大亞,listed,4672981,933826,3739155,0,6000,-6000,153261,84451,68810,3801965,TWSE
2026-01-16,2457,飛宏,listed,5829000,2790643,3038357,0,0,0,768572,82744,685828,3724185,TWSE
2026-01-16,6446,藥華藥,listed,4443550,930174,3513376,98000,16000,82000,282147,219120,63027,3658403,TWSE
2026-01-16,2881,富邦金,listed,14799037,5670786,9128251,29000,5753283,-5724283,306507,53117,253390,3657358,TWSE
2026-01-16,033151,聯發科統一55購01,listed,0,0,0,0,0,0,3577000,0,3577000,3577000,TWSE
2026-01-16,006208,富邦台50,listed,1241660,191064,1050596,0,0,0,5097733,2607000,2490733,3541329,TWSE
2026-01-16,00987A,主動台新優勢成長,listed,543000,154000,389000,0,0,0,3942500,794817,3147683,3536683,TWSE
2026-01-16,009813,貝萊德標普卓越50,listed,290100,20000,270100,0,0,0,5341000,2075000,3266000,3536100,TWSE
2026-01-16,039912,台積電元大54購52,listed,0,0,0,0,0,0,4074000,623000,3451000,3451000,TWSE
2026-01-16,2451,創見,listed,7269220,3937786,3331434,97000,230737,-133737,378506,128539,249967,3447664,TWSE
2026-01-16,2449,京元電子,listed,12341128,6811987,5529141,28000,1208092,-1180092,284824,1245105,-960281,3388768,TWSE
2026-01-16,00673R,期元大S&P原油反1,listed,72000,0,72000,0,0,0,4887601,1624000,3263601,3335601,TWSE
2026-01-16,2441,超豐,listed,8302073,5542050,2760023,0,51000,-51000,1228726,633212,595514,3304537,TWSE
2026-01-16,00662,富邦NASDAQ,listed,23261,61000,-37739,0,0,0,3525000,196000,3329000,3291261,TWSE
2026-01-16,041404,台積電凱基54購39,listed,0,0,0,0,0,0,3280000,153000,3127000,3127000,TWSE
2026-01-16,043684,台積電元大55購15,listed,0,0,0,0,0,0,3417000,321000,3096000,3096000,TWSE
2026-01-16,040211,台積電凱基54購26,listed,0,0,0,0,0,0,3095000,9000,3086000,3086000,TWSE
