date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-09-04,00411A,主動統一前沿科技,otc,5648300,519000,5129300,0,0,0,9903521,8684867,1218654,6347954,TPEx
2026-09-04,006201,元大富櫃50,otc,30000,0,30000,0,0,0,126521,112958,13563,43563,TPEx
2026-09-04,00679B,元大美債20年,otc,300613,888000,-587387,0,0,0,7612000,3719159,3892841,3305454,TPEx
2026-09-04,00687B,國泰20年美債,otc,69074,3960000,-3890926,0,0,0,7615000,942933,6672067,2781141,TPEx
2026-09-04,00687C,國泰20年美債+櫃U,otc,0,0,0,0,0,0,25000,25000,0,0,TPEx
2026-09-04,00694B,富邦美債1-3,otc,2000,0,2000,0,0,0,222036,151268,70768,72768,TPEx
2026-09-04,00695B,富邦美債7-10,otc,1000,25000,-24000,0,0,0,216000,187347,28653,4653,TPEx
2026-09-04,00696B,富邦美債20年,otc,162000,776000,-614000,0,0,0,1659394,837710,821684,207684,TPEx
2026-09-04,00697B,元大美債7-10,otc,1000,0,1000,0,0,0,92000,25457,66543,67543,TPEx
2026-09-04,00719B,元大美債1-3,otc,42000,169000,-127000,0,0,0,265000,882009,-617009,-744009,TPEx
2026-09-04,00720B,元大投資級公司債,otc,47000,61000,-14000,0,0,0,1899721,2546,1897175,1883175,TPEx
2026-09-04,00722B,群益投資級電信債,otc,94000,34000,60000,0,0,0,3081039,2903912,177127,237127,TPEx
2026-09-04,00723B,群益投資級科技債,otc,0,1000,-1000,0,0,0,125000,121000,4000,3000,TPEx
2026-09-04,00724B,群益投資級金融債,otc,1000,266000,-265000,0,0,0,5389653,5026365,363288,98288,TPEx
2026-09-04,00725B,國泰投資級公司債,otc,65000,134000,-69000,0,0,0,1100000,356407,743593,674593,TPEx
2026-09-04,00726B,國泰新興投等債,otc,25000,0,25000,0,0,0,112000,100001,11999,36999,TPEx
2026-09-04,00727B,國泰優選非投等債,otc,0,13000,-13000,0,0,0,114439,103000,11439,-1561,TPEx
2026-09-04,00734B,台新JPM新興債,otc,0,20000,-20000,0,0,0,20000,0,20000,0,TPEx
2026-09-04,00740B,富邦全球投等債,otc,0,0,0,150000,0,150000,667000,749246,-82246,67754,TPEx
2026-09-04,00741B,富邦全球非投等債,otc,0,2000,-2000,0,0,0,104000,101205,2795,795,TPEx
2026-09-04,00746B,富邦A級公司債,otc,1000,0,1000,0,0,0,401053,464000,-62947,-61947,TPEx
2026-09-04,00749B,凱基新興債10+,otc,0,1000,-1000,0,0,0,101000,100000,1000,0,TPEx
2026-09-04,00750B,凱基科技債10+,otc,0,0,0,0,0,0,100000,100000,0,0,TPEx
2026-09-04,00751B,元大AAA至A公司債,otc,186050,147000,39050,0,0,0,1927000,610812,1316188,1355238,TPEx
2026-09-04,00754B,群益AAA-AA公司債,otc,0,0,0,0,0,0,100000,100000,0,0,TPEx
2026-09-04,00755B,群益投資級公用債,otc,0,0,0,0,0,0,125000,101000,24000,24000,TPEx
2026-09-04,00756B,群益投等新興公債,otc,20000,40000,-20000,0,0,0,150000,150500,-500,-20500,TPEx
2026-09-04,00758B,復華能源債,otc,0,0,0,0,0,0,100039,100999,-960,-960,TPEx
2026-09-04,00759B,復華製藥債,otc,0,0,0,0,0,0,100040,100999,-959,-959,TPEx
2026-09-04,00760B,復華新興企業債,otc,0,0,0,0,0,0,101146,100000,1146,1146,TPEx
2026-09-04,00761B,國泰A級公司債,otc,12000,100000,-88000,0,0,0,736000,100000,636000,548000,TPEx
2026-09-04,00764B,群益25年美債,otc,10000,11000,-1000,0,0,0,7411586,9028008,-1616422,-1617422,TPEx
2026-09-04,00768B,復華20年美債,otc,116000,1000,115000,0,0,0,156778,230534,-73756,41244,TPEx
2026-09-04,00772B,中信高評級公司債,otc,229000,21000,208000,0,0,0,889000,267696,621304,829304,TPEx
2026-09-04,00773B,中信優先金融債,otc,3000,234000,-231000,0,0,0,1547000,1268339,278661,47661,TPEx
2026-09-04,00777B,凱基AAA至A公司債,otc,0,0,0,0,0,0,100000,100000,0,0,TPEx
2026-09-04,00778B,凱基金融債20+,otc,0,0,0,0,0,0,100000,100000,0,0,TPEx
2026-09-04,00779B,凱基美債25+,otc,0,3000,-3000,0,0,0,300000,300000,0,-3000,TPEx
2026-09-04,00780B,國泰A級金融債,otc,0,3000,-3000,0,0,0,108000,102000,6000,3000,TPEx
2026-09-04,00781B,國泰A級科技債,otc,0,0,0,0,0,0,100000,122006,-22006,-22006,TPEx
2026-09-04,00782B,國泰A級公用債,otc,0,1000,-1000,0,0,0,178000,161135,16865,15865,TPEx
2026-09-04,00785B,富邦金融投等債,otc,1000,141000,-140000,0,0,0,240000,100049,139951,-49,TPEx
2026-09-04,00786B,元大10年IG銀行債,otc,0,15000,-15000,0,0,0,16001,58000,-41999,-56999,TPEx
2026-09-04,00787B,元大10年IG醫療債,otc,0,0,0,0,0,0,14000,0,14000,14000,TPEx
2026-09-04,00788B,元大10年IG電能債,otc,2000,20000,-18000,0,0,0,84000,20000,64000,46000,TPEx
2026-09-04,00789B,復華公司債A3,otc,0,10000,-10000,0,0,0,111997,100999,10998,998,TPEx
2026-09-04,00791B,復華信用債1-5,otc,0,0,0,0,0,0,100034,100000,34,34,TPEx
2026-09-04,00792B,群益A級公司債,otc,0,0,0,0,0,0,59757,50737,9020,9020,TPEx
2026-09-04,00793B,群益AAA-A醫療債,otc,0,0,0,0,0,0,6000,0,6000,6000,TPEx
2026-09-04,00795B,中信美國公債20年,otc,206076,942000,-735924,0,0,0,2336133,875000,1461133,725209,TPEx
2026-09-04,00799B,國泰A級醫療債,otc,102000,105000,-3000,0,0,0,297000,186000,111000,108000,TPEx
2026-09-04,00834B,第一金金融債10+,otc,0,42000,-42000,0,0,0,142000,100000,42000,0,TPEx
2026-09-04,00836B,永豐10年A公司債,otc,71000,0,71000,0,0,0,0,0,0,71000,TPEx
2026-09-04,00840B,凱基IG精選15+,otc,0,0,0,0,0,0,100000,102000,-2000,-2000,TPEx
2026-09-04,00841B,凱基AAA-AA公司債,otc,0,0,0,0,0,0,100000,100000,0,0,TPEx
2026-09-04,00842B,台新美元銀行債,otc,12000,15000,-3000,0,0,0,0,19204,-19204,-22204,TPEx
2026-09-04,00844B,台新15年IG金融債,otc,0,0,0,0,0,0,161000,160000,1000,1000,TPEx
2026-09-04,00845B,富邦新興投等債,otc,165000,81000,84000,0,0,0,185000,265000,-80000,4000,TPEx
2026-09-04,00846B,富邦歐洲銀行債,otc,0,0,0,0,0,0,102139,102000,139,139,TPEx
2026-09-04,00847B,中信美國市政債,otc,0,0,0,0,0,0,302000,300000,2000,2000,TPEx
2026-09-04,00848B,中信新興亞洲債,otc,0,0,0,0,0,0,300000,300000,0,0,TPEx
2026-09-04,00849B,中信EM主權債0-5,otc,0,40000,-40000,0,0,0,340692,301590,39102,-898,TPEx
2026-09-04,00853B,統一美債10年Aa-A,otc,0,0,0,0,0,0,1002039,1001001,1038,1038,TPEx
2026-09-04,00856B,永豐1-3年美公債,otc,0,0,0,0,0,0,71000,0,71000,71000,TPEx
2026-09-04,00857B,永豐20年美公債,otc,0,0,0,0,0,0,211000,21009,189991,189991,TPEx
2026-09-04,00858,永豐美國500大,otc,13000,0,13000,0,0,0,159683,683,159000,172000,TPEx
2026-09-04,00859B,群益0-1年美債,otc,9000,14000,-5000,0,0,0,1155250,1372321,-217071,-222071,TPEx
2026-09-04,00860B,群益1-5Y投資級債,otc,0,0,0,0,0,0,50125,60196,-10071,-10071,TPEx
2026-09-04,00862B,中信投資級公司債,otc,59000,0,59000,0,0,0,327407,300053,27354,86354,TPEx
2026-09-04,00863B,中信全球電信債,otc,45000,57000,-12000,0,0,0,344000,350044,-6044,-18044,TPEx
2026-09-04,00864B,中信美國公債0-1,otc,71000,115000,-44000,0,0,0,330000,639300,-309300,-353300,TPEx
2026-09-04,00867B,台新A-BBB電信債,otc,0,42000,-42000,0,0,0,223000,183000,40000,-2000,TPEx
2026-09-04,00870B,元大15年EM主權債,otc,0,1000,-1000,0,0,0,1000,0,1000,0,TPEx
2026-09-04,00877,復華中國5G,otc,270000,142000,128000,0,0,0,279953,509433,-229480,-101480,TPEx
2026-09-04,00884B,中信低碳新興債,otc,0,0,0,0,0,0,340659,341236,-577,-577,TPEx
2026-09-04,00886,永豐美國科技,otc,0,0,0,0,0,0,20090,20000,90,90,TPEx
2026-09-04,00887,永豐中國科技50大,otc,485000,271000,214000,0,0,0,134000,613483,-479483,-265483,TPEx
2026-09-04,00888,永豐台灣ESG,otc,1040747,310000,730747,0,0,0,1444960,121839,1323121,2053868,TPEx
2026-09-04,00890B,凱基ESG BBB債15+,otc,0,10000,-10000,0,0,0,110000,100000,10000,0,TPEx
2026-09-04,00928,中信上櫃ESG 30,otc,91000,34000,57000,0,0,0,282401,299428,-17027,39973,TPEx
2026-09-04,00931B,統一美債20年,otc,0,0,0,0,0,0,3186000,1414876,1771124,1771124,TPEx
2026-09-04,00933B,國泰10Y+金融債,otc,31000,301000,-270000,0,0,0,2028000,529839,1498161,1228161,TPEx
2026-09-04,00937B,群益ESG投等債20+,otc,311346,10759400,-10448054,0,0,0,22282500,1786251,20496249,10048195,TPEx
2026-09-04,00942B,台新美A公司債20+,otc,0,0,0,0,0,0,1390000,1001786,388214,388214,TPEx
2026-09-04,00948B,中信優息投資級債,otc,42000,0,42000,0,0,0,2490000,1283835,1206165,1248165,TPEx
2026-09-04,00950B,凱基A級公司債,otc,0,0,0,0,0,0,1248000,1026268,221732,221732,TPEx
2026-09-04,00955,中信日本商社,otc,1171000,29200,1141800,0,0,0,965000,223186,741814,1883614,TPEx
