date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-07-13,2618,長榮航,listed,77372730,19353161,58019569,351376,3243974,-2892598,1424727,1315406,109321,55236292,TWSE
2026-07-13,2891,中信金,listed,69657117,28635793,41021324,275551,204646,70905,1944580,17307560,-15362980,25729249,TWSE
2026-07-13,4958,臻鼎-KY,listed,31709683,10664933,21044750,4232276,225000,4007276,3138418,2695814,442604,25494630,TWSE
2026-07-13,2610,華航,listed,28984799,7556541,21428258,394000,21876,372124,1803000,352716,1450284,23250666,TWSE
2026-07-13,2332,友訊,listed,47242201,24815727,22426474,0,0,0,1063167,1918127,-854960,21571514,TWSE
2026-07-13,2634,漢翔,listed,18188100,2759629,15428471,0,0,0,1105092,177530,927562,16356033,TWSE
2026-07-13,00712,復華富時不動產,listed,13250000,245000,13005000,0,0,0,2497999,699862,1798137,14803137,TWSE
2026-07-13,009824,群益美國科技巨頭,listed,3656000,163000,3493000,0,0,0,17811589,8081770,9729819,13222819,TWSE
2026-07-13,5876,上海商銀,listed,22342936,10044728,12298208,343000,351000,-8000,739649,23000,716649,13006857,TWSE
2026-07-13,2886,兆豐金,listed,13407430,10176344,3231086,8676709,15642,8661067,942141,253725,688416,12580569,TWSE
2026-07-13,2313,華通,listed,26717592,18877234,7840358,3352000,2000,3350000,2267772,1064614,1203158,12393516,TWSE
2026-07-13,009820,元大納斯達克精選,listed,498000,177000,321000,0,0,0,12431926,1888000,10543926,10864926,TWSE
2026-07-13,6505,台塑化,listed,17835933,8949250,8886683,889148,0,889148,1094218,168606,925612,10701443,TWSE
2026-07-13,5880,合庫金,listed,15130422,5009192,10121230,211720,14909,196811,369018,41000,328018,10646059,TWSE
2026-07-13,3045,台灣大,listed,13971545,4247812,9723733,716758,157000,559758,598484,299353,299131,10582622,TWSE
2026-07-13,1301,台塑,listed,16591000,8459572,8131428,0,0,0,1191366,349800,841566,8972994,TWSE
2026-07-13,2347,聯強,listed,15874068,4402000,11472068,195000,189000,6000,2462022,6110676,-3648654,7829414,TWSE
2026-07-13,3033,威健,listed,13222000,5616000,7606000,0,0,0,362060,556197,-194137,7411863,TWSE
2026-07-13,4904,遠傳,listed,9827635,8886828,940807,7278987,1170000,6108987,312862,296490,16372,7066166,TWSE
2026-07-13,00918,大華優利高填息30,listed,2007264,468500,1538764,0,0,0,8481215,3037803,5443412,6982176,TWSE
2026-07-13,2377,微星,listed,16262737,9925277,6337460,8000,2000,6000,906759,285376,621383,6964843,TWSE
2026-07-13,1709,和益,listed,7569473,1045242,6524231,0,0,0,117611,37575,80036,6604267,TWSE
2026-07-13,3704,合勤控,listed,7893000,1425650,6467350,0,0,0,117711,12494,105217,6572567,TWSE
2026-07-13,2359,所羅門,listed,7670447,1616270,6054177,0,0,0,374470,258329,116141,6170318,TWSE
2026-07-13,1216,統一,listed,11282829,5960933,5321896,117556,0,117556,553975,109000,444975,5884427,TWSE
2026-07-13,00665L,富邦恒生國企正2,listed,1764000,1429000,335000,0,0,0,14614907,9203290,5411617,5746617,TWSE
2026-07-13,3576,聯合再生,listed,10741405,5126000,5615405,0,0,0,24000,6000,18000,5633405,TWSE
2026-07-13,2301,光寶科,listed,18489251,12880971,5608280,108659,405000,-296341,669155,435660,233495,5545434,TWSE
2026-07-13,00402A,主動安聯美國科技,listed,5000,7000,-2000,0,0,0,6667926,1163325,5504601,5502601,TWSE
2026-07-13,2845,遠東銀,listed,7246766,1905000,5341766,0,0,0,139000,31000,108000,5449766,TWSE
2026-07-13,1326,台化,listed,29878020,25125517,4752503,6000,0,6000,1581402,928985,652417,5410920,TWSE
2026-07-13,2883,凱基金,listed,22708611,18657279,4051332,135172,19220,115952,1540867,382968,1157899,5325183,TWSE
2026-07-13,074790,台化元大61購05,listed,0,0,0,0,0,0,4999000,0,4999000,4999000,TWSE
2026-07-13,2890,永豐金,listed,25395472,20592714,4802758,238463,273892,-35429,479411,286022,193389,4960718,TWSE
2026-07-13,2880,華南金,listed,12050029,9549486,2500543,1761221,0,1761221,886509,226283,660226,4921990,TWSE
2026-07-13,2105,正新,listed,7009066,2315000,4694066,76000,267539,-191539,452895,76508,376387,4878914,TWSE
2026-07-13,2371,大同,listed,6839025,2254450,4584575,10000,0,10000,165425,18000,147425,4742000,TWSE
2026-07-13,073135,康舒元大5C購07,listed,0,0,0,0,0,0,4622000,0,4622000,4622000,TWSE
2026-07-13,057509,華通統一65購03,listed,0,0,0,0,0,0,4589000,14000,4575000,4575000,TWSE
2026-07-13,070085,京元電元大61購09,listed,0,0,0,0,0,0,4820000,280000,4540000,4540000,TWSE
2026-07-13,073113,微星元大5C購05,listed,0,0,0,0,0,0,4752000,225000,4527000,4527000,TWSE
2026-07-13,3016,嘉晶,listed,6684814,2207452,4477362,0,0,0,158448,189170,-30722,4446640,TWSE
2026-07-13,070089,晶豪科元大61購02,listed,0,0,0,0,0,0,4447000,49000,4398000,4398000,TWSE
2026-07-13,074676,直得元大61購01,listed,0,0,0,0,0,0,4274000,15000,4259000,4259000,TWSE
2026-07-13,1303,南亞,listed,16849095,23549067,-6699972,9372000,0,9372000,2493922,984969,1508953,4180981,TWSE
