date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2026-06-16,00400A,主動國泰動能高息,listed,14.83,14.86,14.7,14.72,0.09,0.6152,39861000,589595600,4886,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00401A,主動摩根台灣鑫收,listed,13.83,13.83,13.71,13.77,0.07,0.5109,4275000,58901170,469,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00402A,主動安聯美國科技,listed,10.02,10.04,10.0,10.03,0.11,1.1089,36943000,370186500,4666,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00403A,主動統一升級50,listed,10.74,10.77,10.66,10.7,0.09,0.8483,584988000,6274122450,68418,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00404A,主動聯博動能50,listed,10.15,10.15,10.05,10.09,0.09,0.9,33525000,338340790,4835,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00405A,主動富邦台灣龍耀,listed,9.42,9.49,9.34,9.37,0.03,0.3212,112144000,1054750350,15513,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00406A,主動中信台灣收益,listed,10.2,10.2,10.07,10.08,0.01,0.0993,31762000,321391120,3880,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,0050,元大台灣50,listed,106.05,106.05,104.85,105.9,0.65,0.6176,66751000,7045178950,29675,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,0051,元大中型100,listed,144.55,144.55,142.5,143.4,0.9,0.6316,95000,13602750,51,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,0052,富邦科技,listed,61.95,61.95,61.25,61.85,0.25,0.4058,23367000,1441263100,7676,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,0053,元大電子,listed,240.55,242.7,240.5,241.8,0.9,0.3736,20000,4820450,18,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,0055,元大MSCI金融,listed,41.04,42.09,41.04,41.98,0.98,2.3902,1546000,64663560,447,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,0056,元大高股息,listed,51.8,51.9,51.4,51.55,0.05,0.0971,29607000,1528520800,10843,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,0057,富邦摩台,listed,311.6,314.05,310.6,314.05,2.45,0.7863,6000,1871850,6,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,0061,元大寶滬深,listed,25.21,25.39,25.21,25.28,0.07,0.2777,245000,6204250,78,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-06-16,006203,元大MSCI台灣,listed,191.15,192.7,191.15,191.9,1.8,0.9469,6000,1149500,6,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,006204,永豐臺灣加權,listed,227.75,228.2,227.75,227.75,0.75,0.3304,10000,2277950,3,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,006205,富邦上証,listed,41.1,41.42,41.1,41.1,0.05,0.1218,221000,9127490,68,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,006206,元大上證50,listed,37.24,37.4,37.03,37.04,-0.14,-0.3765,56000,2087180,27,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,006207,復華滬深,listed,33.85,33.98,33.8,33.8,0.23,0.6851,122000,4140430,13,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,006208,富邦台50,listed,245.0,245.75,243.45,245.35,1.25,0.5121,2859000,699612200,1335,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00625K,富邦上証+R,listed,,,,,0.0,,0,0,0,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit;invalid_close;invalid_volume;invalid_turnover
2026-06-16,00631L,元大台灣50正2,listed,37.6,37.6,36.78,37.31,0.24,0.6474,208425000,7746940120,47521,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00632R,元大台灣50反1,listed,10.17,10.27,10.15,10.19,-0.04,-0.391,120536000,1229932900,10530,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00633L,富邦上証正2,listed,53.55,53.85,52.95,52.95,-0.05,-0.0943,2274000,121400200,273,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00634R,富邦上証反1,listed,3.01,3.03,3.01,3.03,0.01,0.3311,252000,760910,12,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00635U,期元大S&P黃金,listed,45.18,45.24,44.94,45.17,-0.06,-0.1327,2746000,123811700,1332,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00636,國泰中國A50,listed,29.07,29.21,29.0,29.0,0.04,0.1381,271000,7893810,95,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00636K,國泰中國A50+U,listed,9.24,9.24,9.24,9.24,0.0,0.0,200,1848,2,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00637L,元大滬深300正2,listed,22.1,22.25,21.89,21.89,0.01,0.0457,19594000,432531360,2042,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00638R,元大滬深300反1,listed,6.44,6.44,6.43,6.43,-0.02,-0.3101,4000,25730,3,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00639,富邦深100,listed,18.17,18.41,18.17,18.31,0.25,1.3843,732000,13399470,225,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00640L,富邦日本正2,listed,103.15,104.25,103.0,103.6,-0.75,-0.7187,99000,10232100,52,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00641R,富邦日本反1,listed,3.79,3.81,3.78,3.8,0.02,0.5291,1549000,5882880,79,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00642U,期元大S&P石油,listed,25.97,26.02,25.83,25.83,-0.03,-0.116,3878000,100533570,1030,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00643,群益深証中小,listed,19.82,19.95,19.8,19.86,0.15,0.761,3163000,62994460,139,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00643K,群益深証中小+R,listed,4.19,4.19,4.19,4.19,0.0,0.0,3000,12570,3,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00645,富邦日本,listed,56.25,56.4,56.0,56.25,-0.1,-0.1775,133000,7476350,93,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00646,元大S&P500,listed,74.8,74.95,74.75,74.9,0.4,0.5369,1929000,144385500,859,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00647L,元大S&P500正2,listed,135.35,136.0,135.35,135.7,0.85,0.6303,99000,13429850,25,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00648R,元大S&P500反1,listed,3.97,3.97,3.95,3.95,-0.02,-0.5038,353000,1395510,49,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00650L,復華香港正2,listed,16.3,16.3,15.81,15.81,-0.46,-2.8273,5143000,82054680,855,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00651R,復華香港反1,listed,5.39,5.42,5.39,5.42,0.09,1.6886,57000,307890,15,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00652,富邦印度,listed,32.66,32.89,32.55,32.7,0.04,0.1225,255000,8334100,159,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00653L,富邦印度正2,listed,46.06,46.19,45.72,46.18,0.02,0.0433,98000,4502520,51,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00654R,富邦印度反1,listed,6.79,6.8,6.77,6.77,0.01,0.1479,35000,237650,7,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00655L,國泰中國A50正2,listed,37.25,37.57,36.99,37.02,-0.01,-0.027,1480000,55277560,194,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00656R,國泰中國A50反1,listed,5.7,5.71,5.68,5.7,-0.01,-0.1751,472000,2684390,11,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00657,國泰日經225,listed,81.55,81.65,80.6,81.05,0.25,0.3094,35000,2831200,22,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00657K,國泰日經225+U,listed,25.9,25.9,25.9,25.9,0.0,0.0,200,5180,2,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00660,元大歐洲50,listed,45.31,45.31,45.26,45.26,-0.3,-0.6585,4000,181160,4,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00661,元大日經225,listed,89.4,90.3,89.05,89.8,0.5,0.5599,114000,10203400,77,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00662,富邦NASDAQ,listed,123.5,123.9,123.35,123.85,1.4,1.1433,5191000,641877850,2130,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00663L,國泰臺灣加權正2,listed,109.15,109.5,107.2,108.4,0.8,0.7435,9710000,1052885150,3232,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00664R,國泰臺灣加權反1,listed,1.64,1.66,1.63,1.65,0.0,0.0,18189000,29950020,581,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00665L,富邦恒生國企正2,listed,9.32,9.32,8.99,8.99,-0.31,-3.3333,25310000,230228410,2200,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00666R,富邦恒生國企反1,listed,9.3,9.36,9.3,9.36,0.17,1.8498,16000,149340,7,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00668,國泰美國道瓊,listed,59.5,59.6,59.5,59.55,0.05,0.084,10000,595600,8,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00668K,國泰美國道瓊+U,listed,18.91,18.91,18.91,18.91,0.0,0.0,100,1891,1,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00669R,國泰美國道瓊反1,listed,5.31,5.32,5.3,5.32,0.0,0.0,952000,5054610,83,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00670L,富邦NASDAQ正2,listed,220.2,220.9,219.55,220.9,4.0,1.8442,877000,193092100,412,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00671R,富邦NASDAQ反1,listed,2.37,2.37,2.35,2.37,0.0,0.0,3319000,7840020,189,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00673R,期元大S&P原油反1,listed,13.96,14.03,13.91,14.03,0.05,0.3577,16981000,237228190,1637,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00674R,期元大S&P黃金反1,listed,28.41,28.56,28.4,28.45,0.1,0.3527,248000,7056700,62,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00675L,富邦臺灣加權正2,listed,330.45,331.45,324.45,329.0,3.15,0.9667,2113000,692574900,825,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00676R,富邦臺灣加權反1,listed,5.6,5.65,5.59,5.62,-0.01,-0.1776,7403000,41616950,460,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00678,群益那斯達克生技,listed,36.09,36.23,36.08,36.21,-0.21,-0.5766,485000,17546870,25,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00680L,元大美債20正2,listed,6.94,6.94,6.9,6.91,-0.12,-1.707,9029000,62420980,437,TWSE,bond_etf,false,true,true,true,true,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-06-16,00681R,元大美債20反1,listed,21.05,21.07,21.0,21.01,0.17,0.8157,13000,273420,11,TWSE,bond_etf,false,true,true,true,true,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-06-16,00682U,期元大美元指數,listed,20.51,20.51,20.51,20.51,0.0,0.0,15000,307650,1,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00683L,期元大美元指正2,listed,21.41,21.47,21.41,21.47,0.22,1.0353,47000,1008200,7,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00684R,期元大美元指反1,listed,15.1,15.1,15.1,15.1,0.0,0.0,2000,30200,1,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00685L,群益臺灣加權正2,listed,300.0,300.45,294.5,297.4,1.45,0.4899,4757000,1415084250,2113,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00686R,群益臺灣加權反1,listed,1.01,1.02,1.0,1.02,0.0,0.0,13846000,13950480,203,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00688L,國泰20年美債正2,listed,6.89,6.91,6.89,6.89,-0.12,-1.7118,2904000,20031320,184,TWSE,bond_etf,false,true,true,true,true,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-06-16,00689R,國泰20年美債反1,listed,21.94,21.96,21.94,21.96,0.19,0.8728,5000,109760,3,TWSE,bond_etf,false,true,true,true,true,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-06-16,00690,兆豐藍籌30,listed,81.0,81.25,80.45,81.2,0.95,1.1838,637000,51600150,192,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00692,富邦公司治理,listed,91.5,91.8,90.8,91.65,0.6,0.659,1173000,107117300,468,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00693U,期街口S&P黃豆,listed,20.66,20.66,20.53,20.53,-0.11,-0.5329,522000,10743800,213,TWSE,warrant,false,false,true,false,false,false,false,false,false,security_type=warrant;symbol_not_4_digit
2026-06-16,00700,富邦恒生國企,listed,16.91,16.91,16.64,16.64,-0.27,-1.5967,426000,7139040,65,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00701,國泰股利精選30,listed,38.03,38.33,37.76,38.2,0.58,1.5417,863000,32816840,247,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00702,國泰標普低波高息,listed,24.6,24.6,24.5,24.53,-0.17,-0.6883,118000,2894330,12,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00703,台新MSCI中國,listed,19.36,19.75,19.1,19.12,-0.24,-1.2397,49000,940820,23,TWSE,other,false,false,false,false,false,false,false,false,false,symbol_not_4_digit
2026-06-16,00706L,期元大S&P日圓正2,listed,19.01,19.02,18.97,18.99,-0.06,-0.315,2810000,53392180,449,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00707R,期元大S&P日圓反1,listed,,,,,0.0,,0,0,0,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit;invalid_close;invalid_volume;invalid_turnover
2026-06-16,00708L,期元大S&P黃金正2,listed,81.1,81.4,80.4,81.25,-0.1,-0.1229,2011000,162735900,956,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00709,富邦歐洲,listed,39.43,39.44,39.11,39.25,-0.63,-1.5797,31000,1217850,28,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00710B,復華彭博非投等債,listed,19.0,19.09,19.0,19.03,0.03,0.1579,461000,8788850,44,TWSE,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-06-16,00711B,復華彭博新興債,listed,16.25,16.25,16.22,16.22,-0.03,-0.1846,107000,1737600,7,TWSE,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2026-06-16,00712,復華富時不動產,listed,8.86,8.86,8.83,8.84,-0.02,-0.2257,51629000,456330140,5423,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00713,元大台灣高息低波,listed,60.65,60.8,60.55,60.75,0.2,0.3303,5300000,321717200,1715,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00714,群益道瓊美國地產,listed,21.75,21.82,21.72,21.79,-0.25,-1.1343,425000,9259940,48,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00715L,期街口布蘭特正2,listed,42.65,42.77,41.79,41.79,-0.81,-1.9014,8305000,350710020,2538,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-06-16,00717,富邦美國特別股,listed,15.08,15.1,15.06,15.1,0.06,0.3989,253000,3816850,78,TWSE,preferred_stock,false,true,false,false,false,false,true,false,false,security_type=preferred_stock;symbol_not_4_digit
2026-06-16,00728,第一金工業30,listed,64.0,64.1,63.55,63.65,0.05,0.0786,180000,11475150,41,TWSE,other,false,false,false,false,false,false,false,false,false,symbol_not_4_digit
2026-06-16,00730,富邦臺灣優質高息,listed,29.5,29.53,28.65,28.72,0.0,0.0,569000,16412520,208,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00731,復華富時高息低波,listed,87.75,89.15,87.65,89.1,1.8,2.0619,898000,79743900,114,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00733,富邦臺灣中小,listed,74.5,75.7,74.5,74.55,0.65,0.8796,925000,69615600,266,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00735,國泰臺韓科技,listed,114.5,114.5,112.75,113.85,0.85,0.7522,2661000,302402950,1281,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00736,國泰新興市場,listed,31.14,31.24,31.1,31.24,0.24,0.7742,110000,3427930,12,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-06-16,00737,國泰AI機器人,listed,38.66,38.86,38.66,38.79,0.14,0.3622,85000,3293920,64,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
