date,time,symbol,name,market,title,category,summary,url,source
2026-06-17,16:32,4438,廣越,,公告本公司決議股利配發基準日及轉換公司債停止轉換期間,股利,,,MOPSOV:t05sr01_1
2026-06-17,16:32,4438,廣越,,公告本公司董事會決議委任第五屆薪資報酬委員會委員,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:32,4438,廣越,,公告本公司董事會選任董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:32,4190,佐登-KY,,公告本公司中華民國境內第三次無擔保轉換公司債修正為 中華民國境內第三次有擔保轉換公司債暨其發行及轉換辦法修訂,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:31,6196,帆宣,,代重要子公司Market Go Profits Ltd. 公告董事會決議通過現金股利除息基準日,股利,,,MOPSOV:t05sr01_1
2026-06-17,16:31,3710,連展投控,,公告本公司第四屆薪資報酬委員會委員,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:31,2752,豆府,,公告本公司董事會決議委任第四屆薪資報酬委員會委員,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:31,6196,帆宣,,代重要子公司Market Go Profits Ltd. 公告董事會決議通過盈餘分配案,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:30,3150,鈺寶-創,,本公司受邀參加臺灣證券交易所舉辦之創新板公司法人說明會,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:30,7734,印能科技,,公告本公司115年股東常會通過解除新任董事及其代表人 競業之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:30,2752,豆府,,公告本公司第四屆審計委員會委員,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:30,4438,廣越,,公告本公司審計委員會成員異動,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:29,5269,祥碩,,公告本公司薪酬委員會委員異動,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:29,2752,豆府,,公告本公司115年股東常會決議解除新任董事及其代表人 競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:29,4438,廣越,,公告本公司115年股東常會通過解除新任董事競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:29,5269,祥碩,,公告本公司審計委員會委員異動,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:29,7734,印能科技,,公告本公司董事會選任董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:29,2752,豆府,,公告本公司董事會選任董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:28,5269,祥碩,,公告本公司董事會選任董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:28,5269,祥碩,,公告本公司115年股東常會通過解除新任董事競業禁止之限制案,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:28,2752,豆府,,公告本公司115年股東常會董事全面改選當選名單,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:28,2215,匯豐汽車,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:28,3312,弘憶股,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:28,3710,連展投控,,公告本公司第四屆審計委員會委員,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:28,5269,祥碩,,本公司115年股東常會全面改選董事(含獨立董事),其他,,,MOPSOV:t05sr01_1
2026-06-17,16:27,5269,祥碩,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:26,2348,海悅,,代子公司海悅建設股份有限公司公告115年度股東常會 重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:26,2752,豆府,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:25,6113,亞矽,,公告本公司115年股東常會通過解除新任董事競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:25,8464,億豐,,公告本公司115年股東常會決議通過解除新任董事 競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:25,6113,亞矽,,公告本公司聘任第六屆薪資報酬委員會,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:25,6113,亞矽,,公告本公司審計委員會任期屆滿改選,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:25,9941,裕融,,代重要子公司新鑫(股)公司補充說明於114年12月17日公告 董事會決議發行無擔保普通公司債,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:24,8464,億豐,,公告本公司第五屆審計委員會委員,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:24,6113,亞矽,,公告本公司董事會選任董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:24,7705,三商餐飲,,公告本公司新任營運中心副總經理,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:24,6113,亞矽,,公告本公司115年股東常會全面改選董事(含獨立董事)當選名單,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:24,8464,億豐,,公告本公司董事會推選董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:24,7705,三商餐飲,,公告本公司訂定除息基準日,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:24,6278,台表科,,代本公司之重要子公司TSMT Technology (Singapore) Pte. Ltd. 公告115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:24,6113,亞矽,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:23,8464,億豐,,公告本公司115年股東常會全面改選董事(含獨立董事) 當選名單暨董事變動達三分之一,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:23,7705,三商餐飲,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:23,4438,廣越,,公告本公司115年股東常會全面改選董事(含獨立董事)當選名單 暨董事異動達三分之一以上,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:23,2390,云辰,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:22,3710,連展投控,,公告本公司董事會改選董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:22,8464,億豐,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:20,6698,旭暉應材,,董事會決議股利分派 (更新3/10公告),股利,,,MOPSOV:t05sr01_1
2026-06-17,16:20,3577,泓格,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:19,5907,大洋-KY,,公告本公司董事改選事宜暨三分之一以上董事發生變動 (補充董事國籍),其他,,,MOPSOV:t05sr01_1
2026-06-17,16:18,5205,中茂,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:18,3710,連展投控,,公告本公司股東常會通過解除新任董事競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:17,4438,廣越,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:14,4160,訊聯基因,,公告本公司董事會通過委任 第六屆薪資報酬委員會委員名單,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:13,8042,金山電,,本公司可轉換公司債金山電六(代號：80426)達公布注 意交易資訊標準，故公告相關訊息，以利投資人區別瞭解。,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:13,4160,訊聯基因,,公告本公司董事會通過張漢東先生 續任董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:12,4160,訊聯基因,,公告本公司一一五年股東常會通過解除董事 競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:12,8089,康全電訊,,公告本公司董事會推舉董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:11,8089,康全電訊,,公告本公司新任董事代表人解除競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:11,8089,康全電訊,,公告本公司薪資報酬委員會委員任期屆滿改選,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:11,1236,宏亞,,公告本公司115年股東常會重要決議事項。,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:11,8089,康全電訊,,公告本公司審計委員會任期屆滿改選,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:10,8089,康全電訊,,公告本公司115年股東常會董事及獨立董事當選名單,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:10,8089,康全電訊,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:10,4160,訊聯基因,,公告本公司第三屆審計委員會委員名單,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:10,1216,統一,,代重要子公司UNI-PRESIDENT ASIA HOLDINGS LTD. 公告董事會決議發放股利,股利,,,MOPSOV:t05sr01_1
2026-06-17,16:09,1216,統一,,代重要子公司統一企業香港控股有限公司公告董事會決議 發放股利,股利,,,MOPSOV:t05sr01_1
2026-06-17,16:09,1216,統一,,代重要子公司統一企業(中國)投資有限公司公告董事會決議 發放股利,股利,,,MOPSOV:t05sr01_1
2026-06-17,16:09,7738,東聯互動,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:09,1216,統一,,代重要子公司康達盛通生活事業股份有限公司 公告董事會選任羅智先先生續任董事長,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:09,1216,統一,,代重要子公司康達盛通生活事業股份有限公司公告 115年股東常會全面改選董事及監察人,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:09,6539,麗彤,,公告本公司115年股東常會通過解除新任董事競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:09,1216,統一,,代重要子公司康達盛通生活事業股份有限公司 公告股東會重要決議,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:09,1216,統一,,代重要子公司康達盛通生活事業股份有限公司 公告115年股東會決議解除本屆董事競業禁止之限制,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:09,4160,訊聯基因,,公告本公司一一五年股東常會選舉第七屆董事當選名單,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:09,5371,中光電,,代重要子公司VISICORP LIMITED公告董事會決議盈餘分配,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:08,6539,麗彤,,公告本公司委任薪資報酬委員會委員,其他,,,MOPSOV:t05sr01_1
2026-06-17,16:08,1227,佳格,,公告本公司董事會決議除息基準日等相關事宜,董事會,,,MOPSOV:t05sr01_1
2026-06-17,16:08,6539,麗彤,,公告本公司審計委員會委員異動,其他,,,MOPSOV:t05sr01_1
