date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2026-08-12,00679B,元大美債20年,otc,26,532,4246,-507,0,2,2,-2,0,TPEx
2026-08-12,00687B,國泰20年美債,otc,0,107,4965,-107,0,0,0,0,0,TPEx
2026-08-12,00694B,富邦美債1-3,otc,0,0,1,0,0,0,0,0,0,TPEx
2026-08-12,00695B,富邦美債7-10,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-08-12,00696B,富邦美債20年,otc,0,0,139,0,0,0,0,0,0,TPEx
2026-08-12,00697B,元大美債7-10,otc,0,2,11,-2,0,0,0,0,0,TPEx
2026-08-12,00719B,元大美債1-3,otc,0,2,107,-2,0,0,0,0,0,TPEx
2026-08-12,00720B,元大投資級公司債,otc,85,162,1740,-77,0,0,0,0,0,TPEx
2026-08-12,00722B,群益投資級電信債,otc,0,0,94,0,0,0,0,0,0,TPEx
2026-08-12,00723B,群益投資級科技債,otc,0,0,125,0,0,0,0,0,0,TPEx
2026-08-12,00724B,群益投資級金融債,otc,0,0,23,0,0,0,0,0,0,TPEx
2026-08-12,00725B,國泰投資級公司債,otc,0,5,659,-5,0,0,0,0,0,TPEx
2026-08-12,00726B,國泰新興投等債,otc,0,0,3,0,0,0,0,0,0,TPEx
2026-08-12,00727B,國泰優選非投等債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-08-12,00734B,台新JPM新興債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-08-12,00740B,富邦全球投等債,otc,0,0,51,0,0,0,0,0,0,TPEx
2026-08-12,00741B,富邦全球非投等債,otc,0,0,4,0,0,0,0,0,0,TPEx
2026-08-12,00746B,富邦A級公司債,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-08-12,00749B,凱基新興債10+,otc,0,0,0,0,0,0,0,0,0,TPEx
2026-08-12,00750B,凱基科技債10+,otc,0,0,0,0,0,0,0,0,0,TPEx
