date,symbol,name,market,margin_buy,margin_sell,margin_balance,margin_change,short_sell,short_cover,short_balance,short_change,offsetting,source
2026-08-14,1101,台泥,listed,65,2193,32187,-2209,10,2,55,8,2,TWSE
2026-08-14,1102,亞泥,listed,26,550,1594,-526,7,1,29,6,2,TWSE
2026-08-14,1103,嘉泥,listed,50,15,4435,32,0,0,0,0,1,TWSE
2026-08-14,1104,環泥,listed,15,1,1704,14,0,0,0,0,0,TWSE
2026-08-14,1108,幸福,listed,0,0,435,0,0,0,44,0,0,TWSE
2026-08-14,1109,信大,listed,1,0,271,1,0,0,0,0,0,TWSE
2026-08-14,1110,東泥,listed,38,0,2534,38,0,0,0,0,0,TWSE
2026-08-14,1201,味全,listed,11,0,1418,9,0,0,0,0,0,TWSE
2026-08-14,1203,味王,listed,0,0,22,0,0,0,0,0,0,TWSE
2026-08-14,1210,大成,listed,22,12,611,10,0,0,1,0,0,TWSE
2026-08-14,1213,大飲,listed,0,0,0,0,0,0,0,0,0,TWSE
2026-08-14,1215,卜蜂,listed,6,0,436,6,0,1,0,-1,0,TWSE
2026-08-14,1216,統一,listed,52,45,987,7,1,1,2,0,0,TWSE
2026-08-14,1217,愛之味,listed,41,49,1633,-8,4,0,5,4,0,TWSE
2026-08-14,1218,泰山,listed,160,123,1604,37,15,108,17,-93,0,TWSE
2026-08-14,1219,福壽,listed,10,0,214,10,0,0,1,0,0,TWSE
2026-08-14,1220,台榮,listed,0,0,797,0,0,0,18,0,0,TWSE
2026-08-14,1225,福懋油,listed,0,0,6783,0,0,0,0,0,0,TWSE
2026-08-14,1227,佳格,listed,44,1,1066,42,0,0,1,0,0,TWSE
2026-08-14,1229,聯華,listed,53,7,3085,46,0,0,16,0,0,TWSE
2026-08-14,1231,聯華食,listed,4,1,264,3,0,0,1,0,0,TWSE
2026-08-14,1232,大統益,listed,1,4,203,-3,0,0,0,0,0,TWSE
2026-08-14,1233,天仁,listed,0,0,22,0,0,0,0,0,0,TWSE
2026-08-14,1234,黑松,listed,0,1,10,-1,0,0,0,0,0,TWSE
2026-08-14,1235,興泰,listed,2,0,1159,2,0,0,0,0,0,TWSE
2026-08-14,1236,宏亞,listed,0,0,163,0,0,0,0,0,0,TWSE
2026-08-14,1256,鮮活果汁-KY,listed,7,2,317,5,0,0,1,0,0,TWSE
2026-08-14,1301,台塑,listed,1678,3551,19568,-1874,236,18,474,218,13,TWSE
2026-08-14,1303,南亞,listed,8693,6772,54861,1915,934,68,3147,865,88,TWSE
2026-08-14,1304,台聚,listed,113,65,10116,38,0,3,71,-34,0,TWSE
2026-08-14,1305,華夏,listed,113,38,6188,74,0,1,24,-1,0,TWSE
2026-08-14,1307,三芳,listed,7,17,1431,-10,0,0,0,0,0,TWSE
2026-08-14,1308,亞聚,listed,112,5,6010,107,0,2,10,-2,0,TWSE
2026-08-14,1309,台達化,listed,30,13,7160,17,0,0,71,0,0,TWSE
2026-08-14,1310,台苯,listed,43,138,11502,-102,0,1,88,-1,2,TWSE
2026-08-14,1312,國喬,listed,584,257,38114,281,3,2,153,1,1,TWSE
2026-08-14,1313,聯成,listed,104,166,10974,-72,3,6,15,-3,0,TWSE
2026-08-14,1314,中石化,listed,111,378,66858,-491,7,3,33,4,2,TWSE
2026-08-14,1315,達新,listed,3,0,30,3,0,0,0,0,0,TWSE
2026-08-14,1316,上曜,listed,138,137,9762,-1,147,0,159,147,0,TWSE
2026-08-14,1319,東陽,listed,533,519,6885,-8,8,1,10,7,4,TWSE
2026-08-14,1321,大洋,listed,37,30,7245,7,0,0,1,0,0,TWSE
2026-08-14,1323,永裕,listed,0,1,81,-1,0,0,0,0,0,TWSE
2026-08-14,1324,地球,listed,1,0,1264,1,0,0,0,0,0,TWSE
2026-08-14,1325,恆大,listed,22,28,2247,-6,0,0,77,0,1,TWSE
