date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2025-12-02,006201,元大富櫃50,otc,23.89,23.89,23.42,23.43,-0.26,-1.0975,347284,8194568,153,TPEx,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2025-12-02,00679B,元大美債20年,otc,27.54,27.57,27.52,27.56,-0.14,-0.5054,25593700,705116475,3621,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00687B,國泰20年美債,otc,28.9,28.92,28.87,28.91,-0.16,-0.5504,14969058,432601008,3009,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00687C,國泰20年美債+櫃U,otc,9.51,9.51,9.51,9.51,-0.08,-0.8342,50000,475500,2,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00694B,富邦美債1-3,otc,41.63,41.63,41.57,41.58,-0.05,-0.1201,428111,17802890,91,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00695B,富邦美債7-10,otc,35.77,35.84,35.77,35.82,-0.14,-0.3893,342745,12276874,52,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00696B,富邦美債20年,otc,29.96,29.98,29.94,29.98,-0.17,-0.5638,5937237,177884875,256,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00697B,元大美債7-10,otc,36.44,36.44,36.35,36.43,-0.12,-0.3283,368771,13429263,167,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00719B,元大美債1-3,otc,31.1,31.1,31.03,31.06,-0.01,-0.0322,1845566,57312923,440,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
2025-12-02,00720B,元大投資級公司債,otc,33.87,33.9,33.82,33.87,-0.11,-0.3237,2897274,98125838,1030,TPEx,bond_etf,false,true,true,true,false,false,false,false,false,security_type=bond_etf;symbol_not_4_digit
