date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source
2026-04-13,00400A,主動國泰動能高息,listed,11.15,11.19,11.08,11.12,-0.02,-0.1795,90785437,1010159593,18472,TWSE
2026-04-13,00401A,主動摩根台灣鑫收,listed,10.61,10.73,10.58,10.68,0.07,0.6598,26700031,284525929,3611,TWSE
2026-04-13,0050,元大台灣50,listed,80.6,81.0,80.4,80.6,-0.15,-0.1858,91689847,7398471916,86103,TWSE
2026-04-13,0051,元大中型100,listed,115.85,116.0,115.1,115.9,0.45,0.3898,129969,15010177,1093,TWSE
2026-04-13,0052,富邦科技,listed,47.88,48.03,47.67,47.86,-0.08,-0.1669,34820088,1666717206,21694,TWSE
2026-04-13,0053,元大電子,listed,182.6,183.5,182.35,182.35,-0.4,-0.2189,53919,9852246,291,TWSE
2026-04-13,0055,元大MSCI金融,listed,33.09,33.09,32.75,32.86,-0.24,-0.7251,260457,8562557,360,TWSE
2026-04-13,0056,元大高股息,listed,39.4,39.6,39.2,39.52,0.11,0.2791,47465866,1872265438,28975,TWSE
2026-04-13,0057,富邦摩台,listed,240.45,240.75,238.85,238.85,-1.6,-0.6654,7552,1808313,160,TWSE
2026-04-13,0061,元大寶滬深,listed,23.7,23.84,23.65,23.83,0.13,0.5485,209473,4978801,222,TWSE
2026-04-13,006203,元大MSCI台灣,listed,147.15,147.3,146.85,147.15,-0.2,-0.1357,47829,7024659,116,TWSE
2026-04-13,006204,永豐臺灣加權,listed,178.5,178.9,178.5,178.9,0.6,0.3365,25623,4577923,112,TWSE
2026-04-13,006205,富邦上証,listed,40.06,40.06,39.89,40.03,-0.05,-0.1248,92541,3700394,270,TWSE
2026-04-13,006206,元大上證50,listed,36.83,36.83,36.5,36.73,-0.1,-0.2715,39668,1455435,158,TWSE
2026-04-13,006207,復華滬深,listed,31.9,32.0,31.88,32.0,0.08,0.2506,121915,3894252,133,TWSE
2026-04-13,006208,富邦台50,listed,187.05,187.75,186.3,186.95,-0.35,-0.1869,3337116,624260289,10587,TWSE
2026-04-13,00625K,富邦上証+R,listed,,,,,0.0,,0,0,0,TWSE
2026-04-13,00631L,元大台灣50正2,listed,23.56,23.82,23.49,23.62,-0.08,-0.3376,159593299,3770906645,44097,TWSE
2026-04-13,00632R,元大台灣50反1,listed,13.28,13.29,13.2,13.25,0.02,0.1512,55637211,737476867,6105,TWSE
2026-04-13,00633L,富邦上証正2,listed,47.95,48.75,47.9,48.75,0.49,1.0153,3152724,152567340,484,TWSE
2026-04-13,00634R,富邦上証反1,listed,3.21,3.21,3.2,3.2,0.0,0.0,142899,457434,10,TWSE
2026-04-13,00635U,期元大S&P黃金,listed,49.6,49.79,49.55,49.74,-0.36,-0.7186,3976049,197602350,4858,TWSE
2026-04-13,00636,國泰中國A50,listed,27.48,27.67,27.43,27.63,0.15,0.5459,878137,24212501,323,TWSE
2026-04-13,00636K,國泰中國A50+U,listed,8.8,8.8,8.8,8.8,0.05,0.5714,100,880,1,TWSE
2026-04-13,00637L,元大滬深300正2,listed,19.82,20.17,19.78,20.13,0.2,1.0035,30566260,612170616,3454,TWSE
2026-04-13,00638R,元大滬深300反1,listed,6.95,6.95,6.88,6.89,-0.01,-0.1449,1629410,11294149,29,TWSE
2026-04-13,00639,富邦深100,listed,16.39,16.46,16.28,16.46,0.14,0.8578,827809,13576829,320,TWSE
2026-04-13,00640L,富邦日本正2,listed,92.05,92.2,90.75,91.25,-1.3,-1.4046,358261,32838846,231,TWSE
2026-04-13,00641R,富邦日本反1,listed,4.08,4.1,4.06,4.08,0.03,0.7407,1412628,5760046,57,TWSE
2026-04-13,00642U,期元大S&P石油,listed,28.7,29.08,28.7,28.99,1.69,6.1905,25131659,727016474,8476,TWSE
2026-04-13,00643,群益深証中小,listed,18.58,18.65,18.47,18.63,0.07,0.3772,2813236,52242333,209,TWSE
2026-04-13,00643K,群益深証中小+R,listed,,,,,0.0,,0,0,0,TWSE
2026-04-13,00645,富邦日本,listed,52.8,52.8,52.3,52.45,-0.35,-0.6629,180186,9455537,379,TWSE
2026-04-13,00646,元大S&P500,listed,67.8,67.8,67.6,67.75,-0.4,-0.5869,1986015,134468569,3933,TWSE
2026-04-13,00647L,元大S&P500正2,listed,112.95,112.95,111.15,111.45,-1.7,-1.5024,113830,12702624,173,TWSE
2026-04-13,00648R,元大S&P500反1,listed,4.44,4.44,4.41,4.43,0.04,0.9112,1282600,5674523,75,TWSE
2026-04-13,00650L,復華香港正2,listed,17.51,17.51,17.11,17.23,-0.34,-1.9351,4253411,73302548,758,TWSE
2026-04-13,00651R,復華香港反1,listed,5.23,5.3,5.23,5.28,0.06,1.1494,229020,1211214,39,TWSE
2026-04-13,00652,富邦印度,listed,33.84,33.84,33.31,33.53,-0.42,-1.2371,403604,13505887,390,TWSE
2026-04-13,00653L,富邦印度正2,listed,46.52,46.52,45.6,46.03,-1.0,-2.1263,809570,37215280,277,TWSE
2026-04-13,00654R,富邦印度反1,listed,6.86,6.9,6.86,6.87,0.08,1.1782,63220,434630,16,TWSE
2026-04-13,00655L,國泰中國A50正2,listed,33.3,33.98,33.3,33.95,0.3,0.8915,1180514,39820435,231,TWSE
2026-04-13,00656R,國泰中國A50反1,listed,6.13,6.13,6.07,6.08,-0.02,-0.3279,76360,465390,12,TWSE
2026-04-13,00657,國泰日經225,listed,66.75,66.75,66.35,66.5,-0.55,-0.8203,73229,4881990,112,TWSE
2026-04-13,00657K,國泰日經225+U,listed,21.07,21.07,21.07,21.07,-0.23,-1.0798,100,2107,1,TWSE
2026-04-13,00660,元大歐洲50,listed,42.94,42.95,42.64,42.69,-0.63,-1.4543,17068,729935,103,TWSE
2026-04-13,00661,元大日經225,listed,73.3,73.3,72.75,73.0,-0.6,-0.8152,144325,10538201,274,TWSE
2026-04-13,00662,富邦NASDAQ,listed,101.9,101.95,101.7,101.85,-0.75,-0.731,2788816,283994243,3587,TWSE
2026-04-13,00663L,國泰臺灣加權正2,listed,67.6,68.35,67.35,67.8,-0.2,-0.2941,6367094,431480959,3003,TWSE
2026-04-13,00664R,國泰臺灣加權反1,listed,2.15,2.16,2.13,2.14,-0.01,-0.4651,14714256,31541179,655,TWSE
2026-04-13,00665L,富邦恒生國企正2,listed,9.71,9.73,9.64,9.7,-0.14,-1.4228,10843047,105134403,1016,TWSE
2026-04-13,00666R,富邦恒生國企反1,listed,9.12,9.15,9.12,9.14,0.13,1.4428,86020,785432,11,TWSE
2026-04-13,00668,國泰美國道瓊,listed,55.15,55.2,55.05,55.15,-0.7,-1.2534,144199,7952383,128,TWSE
2026-04-13,00668K,國泰美國道瓊+U,listed,17.58,17.58,17.58,17.58,-0.08,-0.453,100,1758,1,TWSE
2026-04-13,00669R,國泰美國道瓊反1,listed,5.79,5.81,5.79,5.8,0.08,1.3986,1706195,9897241,106,TWSE
