date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source
2026-06-05,006201,元大富櫃50,otc,48.13,48.48,47.75,47.75,0.65,1.38,173601,8350092,247,TPEx
2026-06-05,00679B,元大美債20年,otc,26.84,26.88,26.8,26.81,0.05,0.1868,22042105,591430236,4148,TPEx
2026-06-05,00687B,國泰20年美債,otc,28.15,28.19,28.12,28.15,0.05,0.1779,18357982,516909040,2658,TPEx
2026-06-05,00687C,國泰20年美債+櫃U,otc,9.42,9.42,9.42,9.42,0.04,0.4264,25000,235500,2,TPEx
2026-06-05,00694B,富邦美債1-3,otc,41.65,41.65,41.55,41.57,-0.13,-0.3118,78689,3271205,40,TPEx
2026-06-05,00695B,富邦美債7-10,otc,35.13,35.13,35.11,35.11,-0.06,-0.1706,136714,4801135,31,TPEx
2026-06-05,00696B,富邦美債20年,otc,29.21,29.28,29.21,29.22,0.05,0.1714,900109,26305666,186,TPEx
2026-06-05,00697B,元大美債7-10,otc,35.67,35.67,35.55,35.63,-0.04,-0.1121,557610,19872152,224,TPEx
2026-06-05,00719B,元大美債1-3,otc,30.97,30.97,30.9,30.92,-0.06,-0.1937,2668755,82495974,677,TPEx
2026-06-05,00720B,元大投資級公司債,otc,33.49,33.53,33.48,33.51,0.1,0.2993,10126233,339318071,1817,TPEx
2026-06-05,00722B,群益投資級電信債,otc,36.4,36.44,36.39,36.42,0.12,0.3306,3326053,121104323,271,TPEx
2026-06-05,00723B,群益投資級科技債,otc,31.17,31.2,31.14,31.17,0.06,0.1929,142009,4426620,10,TPEx
2026-06-05,00724B,群益投資級金融債,otc,33.94,34.08,33.94,34.03,0.07,0.2061,3710599,126272749,200,TPEx
2026-06-05,00725B,國泰投資級公司債,otc,35.52,35.62,35.52,35.59,0.11,0.31,4392213,156289256,863,TPEx
2026-06-05,00726B,國泰新興投等債,otc,32.91,32.94,32.91,32.94,0.06,0.1825,282988,9318307,111,TPEx
2026-06-05,00727B,國泰優選非投等債,otc,39.51,39.6,39.5,39.57,-0.05,-0.1262,112303,4443650,14,TPEx
2026-06-05,00734B,台新JPM新興債,otc,15.85,15.86,15.85,15.86,0.02,0.1263,35000,555020,7,TPEx
