date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2026-07-30,00400A,主動國泰動能高息,listed,11.62,12.31,11.6,11.83,-0.05,-0.4209,65074279,779705686,10733,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00401A,主動摩根台灣鑫收,listed,11.41,11.97,11.4,11.58,-0.03,-0.2584,21024588,244608777,885,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00402A,主動安聯美國科技,listed,8.94,9.0,8.9,8.9,-0.15,-1.6575,5670201,50671457,2024,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00403A,主動統一升級50,listed,8.38,8.83,8.31,8.47,0.01,0.1182,436120282,3748908211,68799,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00404A,主動聯博動能50,listed,8.36,8.73,8.34,8.5,0.02,0.2358,23387401,200167079,965,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00405A,主動富邦台灣龍耀,listed,6.57,7.0,6.5,6.68,-0.02,-0.2985,117476964,794362525,16881,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00406A,主動中信台灣收益,listed,7.97,8.36,7.87,8.06,0.03,0.3736,172797187,1403566742,20630,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00407A,主動凱基台灣,listed,7.63,8.14,7.57,7.82,0.03,0.3851,71019042,557519444,9879,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00408A,主動第一金優股息,listed,9.14,9.44,9.11,9.2,-0.09,-0.9688,1273223,11782107,641,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,0050,元大台灣50,listed,93.4,96.0,92.0,93.5,-0.2,-0.2134,297963128,28012249404,327916,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,0051,元大中型100,listed,126.6,127.85,123.4,124.45,-1.3,-1.0338,120401,15134349,810,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,0052,富邦科技,listed,53.8,55.85,53.5,54.3,-0.1,-0.1838,34926028,1909620812,22075,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,0053,元大電子,listed,204.1,213.05,203.8,206.7,2.65,1.2987,173423,36240713,3350,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,0055,元大MSCI金融,listed,42.08,42.51,41.4,42.51,0.41,0.9739,240563,10139839,395,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,0056,元大高股息,listed,46.18,47.58,45.84,46.29,-0.44,-0.9416,75807217,3541160278,53661,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,0057,富邦摩台,listed,282.8,285.4,279.3,280.45,4.7,1.7044,41616,11869148,2287,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,0061,元大寶滬深,listed,24.41,24.73,24.11,24.19,-0.51,-2.0648,135231,3282840,180,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,006203,元大MSCI台灣,listed,169.35,173.9,168.05,170.15,1.35,0.7998,62753,10718056,398,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,006204,永豐臺灣加權,listed,203.35,203.35,201.7,201.7,3.05,1.5354,8631,1746612,122,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,006205,富邦上証,listed,40.59,40.97,40.38,40.73,-0.17,-0.4156,737475,29957255,200,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,006206,元大上證50,listed,38.01,38.25,37.99,38.14,-0.11,-0.2876,52054,1980377,97,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,006207,復華滬深,listed,32.75,32.75,32.0,32.38,-0.39,-1.1901,615774,19841347,125,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,006208,富邦台50,listed,212.95,219.45,210.7,214.4,0.35,0.1635,4730770,1019775996,14676,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit
2026-07-30,00625K,富邦上証+R,listed,,,,,0.0,,0,0,0,TWSE,etf,false,true,true,false,false,false,false,false,false,security_type=etf;symbol_not_4_digit;invalid_close;invalid_volume;invalid_turnover
2026-07-30,00631L,元大台灣50正2,listed,28.04,29.81,27.68,28.38,-0.15,-0.5258,458059437,13180944394,110097,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
2026-07-30,00632R,元大台灣50反1,listed,11.56,11.64,11.18,11.49,0.06,0.5249,378216127,4321487175,26465,TWSE,leveraged_inverse,false,true,true,false,true,false,false,false,false,security_type=leveraged_inverse;symbol_not_4_digit
