date,time,symbol,name,market,title,category,summary,url,source
2026-06-01,00:14,6214,精誠,,代重要子公司精誠軟體服務(股)公司公告參與 國防部「雲端資訊服務授權」案接獲得標通知,其他,,,MOPSOV:t05st01
2026-06-01,06:17,5314,世紀*,,公告本公司內部稽核主管異動,其他,,,MOPSOV:t05st01
2026-06-01,07:00,8937,合騏*,,公告本公司股票面額由「新台幣10元」變更為「新台幣2.5元」,其他,,,MOPSOV:t05st01
2026-06-01,08:35,5209,新鼎,,代重要子公司萬鼎公司公告法人監察人代表人變更,其他,,,MOPSOV:t05st01
2026-06-01,09:41,5862,板信銀行,,公告本公司發言人及代理發言人異動,其他,,,MOPSOV:t05st01
2026-06-01,10:38,2317,鴻海,,說明媒體報導,其他,,,MOPSOV:t05st01
2026-06-01,10:45,4137,麗豐-KY,,澄清媒體報導,其他,,,MOPSOV:t05st01
2026-06-01,10:49,8415,大國鋼,,本公司受邀參加統一證券舉辦之線上法人說明會,其他,,,MOPSOV:t05st01
2026-06-01,10:57,5706,鳳凰,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,10:57,5706,鳳凰,,公告本公司115年股東常會改選董事,其他,,,MOPSOV:t05st01
2026-06-01,10:57,5706,鳳凰,,公告本公司股東常會通過解除董事競業禁止之限制案,其他,,,MOPSOV:t05st01
2026-06-01,10:58,5706,鳳凰,,公告本公司第六屆審計委員會委員,其他,,,MOPSOV:t05st01
2026-06-01,11:27,2545,皇翔,,本公司115年股東常會重要決議事項。,其他,,,MOPSOV:t05st01
2026-06-01,11:30,7818,溢泰實業,,澄清媒體報導,其他,,,MOPSOV:t05st01
2026-06-01,11:36,5216,優燈,,公告本公司115年股東會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,11:57,8996,高力,,澄清115年5月30日工商時報B01版報導,其他,,,MOPSOV:t05st01
2026-06-01,12:02,3045,台灣大,,說明工商時報相關報導,其他,,,MOPSOV:t05st01
2026-06-01,12:04,3349,寶德,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,12:09,3349,寶德,,公告本公司115年股東常會補選一席董事,其他,,,MOPSOV:t05st01
2026-06-01,12:09,6886,遠東生技,,補充公告本公司內部稽核主管及代理發言人異動,其他,,,MOPSOV:t05st01
2026-06-01,12:11,3349,寶德,,公告本公司115年股東常會通過解除董事競業禁止之限制,其他,,,MOPSOV:t05st01
2026-06-01,13:33,3512,皇龍,,公告本公司董事會決議募集與發行國內第二次有擔保轉換公司債,董事會,,,MOPSOV:t05st01
2026-06-01,13:34,4804,大略-KY,,公告本公司內部稽核主管異動,其他,,,MOPSOV:t05st01
2026-06-01,13:34,3149,正達,,公告本公司115年股東常會重要決議,其他,,,MOPSOV:t05st01
2026-06-01,13:36,3149,正達,,本公司115年度股東常會董事改選當選名單,其他,,,MOPSOV:t05st01
2026-06-01,13:38,1593,祺驊,,公告本公司董事長訂定114年第4季除息基準日暨發放日相關事宜,其他,,,MOPSOV:t05st01
2026-06-01,13:40,3149,正達,,公告本公司董事會選任董事長,董事會,,,MOPSOV:t05st01
2026-06-01,13:40,6492,生華科,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,13:41,3149,正達,,公告本公司第三屆審計委員會委員名單,其他,,,MOPSOV:t05st01
2026-06-01,13:43,3149,正達,,公告本公司第六屆薪酬委員會委員名單,其他,,,MOPSOV:t05st01
2026-06-01,13:44,6492,生華科,,公告本公司115年股東常會全面改選董事選舉結果,其他,,,MOPSOV:t05st01
2026-06-01,13:45,6558,興能高,,公告本公司與長利科技股份有限公司簽署合作意向書,其他,,,MOPSOV:t05st01
2026-06-01,13:47,6937,天虹,,公告本公司受邀參加高盛證券舉辦之「GS Taiwan Computex & Corporate Day Jun 2026」,其他,,,MOPSOV:t05st01
2026-06-01,13:48,3325,旭品,,更正私募專區之私募有價證券申報資訊 (董事會決議日115/05/08起兩日內應申報相關資訊),董事會,,,MOPSOV:t05st01
2026-06-01,13:49,6492,生華科,,公告本公司股東常會通過解除董事及其代表人競業禁止之限 制,其他,,,MOPSOV:t05st01
2026-06-01,13:52,6492,生華科,,公告本公司董事會推選董事長,董事會,,,MOPSOV:t05st01
2026-06-01,13:55,6492,生華科,,公告本公司第三屆審計委員會委員,其他,,,MOPSOV:t05st01
2026-06-01,13:56,2467,志聖,,公告本公司調整配息率,其他,,,MOPSOV:t05st01
2026-06-01,13:58,6492,生華科,,公告本公司董事會委任薪資報酬委員會委員,董事會,,,MOPSOV:t05st01
2026-06-01,13:59,2408,南亞科,,本公司受邀參加Daiwa Investment Conference New York,其他,,,MOPSOV:t05st01
2026-06-01,14:04,3438,類比科,,本公司法人董事代表人異動,其他,,,MOPSOV:t05st01
2026-06-01,14:05,2852,第一保,,公告本公司決議配息基準日,其他,,,MOPSOV:t05st01
2026-06-01,14:05,3711,日月光投控,,公告本公司將受邀參加「Goldman Sachs Taiwan Computex & Corporate Day」之法說訊息,其他,,,MOPSOV:t05st01
2026-06-01,14:06,7561,光晟生技,,本公司發言人異動,其他,,,MOPSOV:t05st01
2026-06-01,14:07,7561,光晟生技,,本公司財務及會計主管異動,其他,,,MOPSOV:t05st01
2026-06-01,14:08,1530,亞崴,,更正-本公司有價證券於集中交易市場達公佈注意交易 資訊標準。(更正事實發生日),其他,,,MOPSOV:t05st01
2026-06-01,14:09,2906,高林,,公告本公司代理發言人異動,其他,,,MOPSOV:t05st01
2026-06-01,14:10,7828,創新服務,,本公司有價證券近期多次達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別暸解,其他,,,MOPSOV:t05st01
2026-06-01,14:11,5878,台名,,公告本公司法人董事改派代表人,其他,,,MOPSOV:t05st01
2026-06-01,14:11,4966,譜瑞-KY,,公告本公司受邀參加花旗證券舉辦之Citi's 2026 Taiwan Tech Conference,其他,,,MOPSOV:t05st01
2026-06-01,14:15,8464,億豐,,本公司受邀參加花旗證券(Citi)的論壇,其他,,,MOPSOV:t05st01
2026-06-01,14:20,6492,生華科,,公告本公司第二屆永續發展委員會委員,其他,,,MOPSOV:t05st01
2026-06-01,14:24,1609,大亞,,代子公司志光能源股份有限公司公告向關係人取得不動產使用權資產,其他,,,MOPSOV:t05st01
2026-06-01,14:25,3362,先進光,,本公司115年現金增資收足股款暨增資基準日,增資,,,MOPSOV:t05st01
2026-06-01,14:26,8358,金居,,本公司有價證券近期多次達公布注意交易資訊標準， 故公告相關訊息，以利投資人區別暸解,其他,,,MOPSOV:t05st01
2026-06-01,14:26,4413,飛寶企業,,公告本公司更正115年度股東常會年報前十大股東相互間 關係表部分內容,其他,,,MOPSOV:t05st01
2026-06-01,14:27,5434,崇越,,代重要子公司上海崇誠國際貿易有限公司公告董事長異動,其他,,,MOPSOV:t05st01
